Al,Zn,Cu,Mg,Si,Zr,Mn,Ag,Li,Ca,Fe,Ti,Sn,Cr,Ge,Sc,Crack Susceptibility Level,Hardness,Observations
0.8602029944859839,0.0664591294588249,0.0403260069660239,0.022951861947687,0.0035731528737694,0.0007802138647609,0.0008159932835084,9.079190591276732e-05,0.0001417746530154,0.0001406538979572,0.0028131553389921,0.0006905456539129,0.000268813704051,0.0004895825758834,0.0001712402316824,8.408915803394934e-05,High,30.34,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.880629333161931,0.0557,0.0223,0.0297,0.0042618457138193,0.0011099428767844,0.0005268109021001,9.066443806460988e-05,0.0001984176696447,0.0001404725180184,0.0034883468009114,0.0008765173697889,0.0004511320312608,0.0003,0.0001637060631516,6.281045452440825e-05,Medium,30.28,"Mg helps refine grains, reducing cracking tendency."
0.9234422951706668,0.0218888592151185,0.0101822182565154,0.0368300677341635,0.0012847545938409,0.0016266213551116,0.0008708466116047,0.000172240959281,5.628728250743863e-05,0.0001267561170672,0.0011015454226413,0.0007595213902896,0.0003691866489577,0.0010711886484602,9.498463894918044e-05,0.0001226259548245,Very Low,30.17,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8782947265621228,0.0675,0.0289,0.0172,0.001968221086046,0.0010080575342365,0.0016290749593364,0.0001473983486865,8.066725586964096e-05,5.193462046842882e-05,0.0015103212111822,0.0009432620407279,0.0001959496451023,0.0004,7.524178827615692e-05,9.514494794474326e-05,Medium,30.3,High Zn can contribute to segregation but strengthens alloy.
0.8798887890726262,0.067,0.0142,0.029,0.0046302658957043,0.0003002289781076,0.0019923617339696,8.880674632331615e-05,8.28064700485375e-05,9.438980441549242e-05,0.0014825434844024,0.0001624814584714,0.0004173045401753,0.0004,0.000162691838656,9.732997709947032e-05,Medium,30.28,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.9095420074298342,0.0208631982390115,0.0196987882670763,0.0389114311369807,0.002363214161012,0.0005577116271601,0.0010055047646469,0.0001851441343535,0.0001597244696064,0.0001918956334768,0.0036723405462825,0.000599576454372,0.0004560388140735,0.0015277011090863,0.0001080210863077,0.000157702126719,Very Low,30.2,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8691258492771653,0.0635487908755944,0.0356406914514261,0.0225061475164085,0.0010930877429433,0.0006479561853973,0.0012722260308945,7.815836085383781e-05,0.0001818995323517,0.0001758719912106,0.0036356957676406,0.0005575244922246,0.0004155940639683,0.000864784317487,0.000154411979235,0.0001013104151986,High,30.32,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.8919446570521811,0.0516,0.0246,0.0224,0.0019117406501677,0.0009414406917374,0.0014828629709585,0.0001599100212179,8.745034291103453e-05,0.0001688286792202,0.0034730190861211,0.0002577726481218,0.0004936441276145,0.0001,0.000191753609687,0.0001869201200611,Medium,30.26,Balanced composition with moderate crack susceptibility.
0.8806958864524799,0.0546,0.0289,0.0247,0.001298202574719,0.0016659206636047,0.0010319332364611,8.763395685366539e-05,0.0001665573928477,0.0001510758347405,0.0046166347779749,0.0006614733922089,0.0001658825413729,0.001,7.071879397103709e-05,0.0001880803827653,Medium,30.28,Cr enhances grain boundary strength and reduces cracking.
0.9022206823610842,0.0325541610614283,0.0193983212361347,0.0333490561465708,0.0041085876637097,0.0017067607437844,0.0012457621460126,0.0001182146513828,5.355616304667776e-05,0.0001130016506443,0.0034020674417346,0.0001797403867116,0.0002080990768523,0.0011392720726633,0.0001092580006785,9.34591975607322e-05,Very Low,30.22,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8914476077876439,0.0507,0.0222,0.0225,0.0038322903111841,0.0018182533488322,0.0012341374454647,5.777536986795936e-05,5.935911028974159e-05,5.850206482487532e-05,0.0039028780335534,0.0007883949353879,0.0002950284774693,0.0008,0.0001912211356259,0.0001145519798558,Medium,30.25,Cr enhances grain boundary strength and reduces cracking.
0.8942581727005501,0.0587,0.0245,0.0151,0.0023561191641948,0.0019379487095089,0.0005686130507187,0.0001031637423189,0.0001017625618269,0.0001428759103048,0.0014593472989568,0.0004307809800623,0.0001443957876853,0.0,0.0001160997325136,8.072036135843143e-05,Medium,30.26,Balanced composition with moderate crack susceptibility.
0.85,0.0799327367414781,0.0499943534657226,0.0205543170560262,0.0025568067149366,0.0019542328770529,0.0017662556734537,0.000178703490651,0.0001271143163826,0.000192347100057,0.0042697742469537,0.0009622661321074,0.000245837491279,0.0008382911906263,0.0001948748479577,0.0001949933331344,High,30.4,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.8927229206035417,0.0585,0.0169,0.0206,0.0022439292868626,0.0012959701403709,0.0019170980334371,0.0001551709391626,0.0001110207201427,8.280708333598089e-05,0.0035336034172669,0.0009890069681933,0.000315480719181,0.0004,0.0001537483477799,7.924374072479458e-05,Medium,30.25,Balanced composition with moderate crack susceptibility.
0.85,0.0917155116254692,0.0505302262108324,0.0194023024142495,0.0010728873026061,0.0019089760723556,0.0007714654290642,0.0001392954898891,7.726683008260429e-05,0.0001080060585565,0.0020829786925742,0.0002921602296796,0.0004382417451959,0.0003301896711503,6.984030726477226e-05,0.0001020438425566,Very High,30.43,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.9065049643231328,0.0274854159151224,0.0198663957850117,0.0337064214706689,0.0040024590065634,0.0016784935877134,0.0019547315676178,5.584689809916957e-05,0.0001444730981652,6.470115271711116e-05,0.0013977655710373,0.0007538155436017,0.0003822343450575,0.0018127995672575,5.380229063959077e-05,0.0001356798775944,Very Low,30.21,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.917794756970817,0.021028516269685,0.0159507793070025,0.0349636624720123,0.0024134089121042,0.0017710027901451,0.0015023191978325,8.168477472093966e-05,0.0001163160552019,0.0001415161883054,0.0013663282933065,0.0006912596406404,0.0002969301920004,0.0015968428489168,0.0001846095977482,0.0001000664895604,Very Low,30.18,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8816446622850258,0.0639,0.0191,0.0244,0.0034301794076057,0.0014505962080575,0.0005555114520732,7.984882084391553e-05,9.175527224939849e-05,0.0001506906237843,0.0042516040365203,0.0003801769292404,0.0001792390531038,0.0002,9.031964225452972e-05,9.541626924079507e-05,Medium,30.28,High Zn can contribute to segregation but strengthens alloy.
0.8650853986919201,0.0666179604970529,0.0424659625365511,0.0156355835028602,0.002635811777657,0.0011481226297111,0.0012896039914041,0.0001225984052269,0.0001038813120474,0.0001583099096305,0.0033651017429797,0.0003659002997296,0.0002098926102078,0.0005176876252009,0.0001863803204309,9.180414738927889e-05,High,30.34,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.8605212245407662,0.0645728561100692,0.0421234926890176,0.0217170068440585,0.004621527905677,0.0008171378233816,0.0013780315465951,8.622447278853017e-05,0.0001359563300928,0.0001073209212248,0.0020376937337251,0.0003942384547042,0.0004952143864622,0.0007326897683205,0.00016123491627,9.814955684613468e-05,High,30.34,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.85,0.083507425572469,0.0633007334909251,0.0191441194592495,0.0028226270111428,0.0006047345402432,0.0008563161963114,6.268480671458567e-05,6.252873720200282e-05,8.917436487662904e-05,0.0041976635158759,0.0007889616090919,0.0002143134222103,0.0002675082099568,0.0001963115551527,7.345432124673126e-05,Very High,30.45,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.9193913867201224,0.0209393193355011,0.0151891770528283,0.0316628336875607,0.0034805303912061,0.0016600059189982,0.001059877687444,0.000141027043331,8.166889138370561e-05,0.0001542429679014,0.0037787858834177,0.0002430173509024,0.0001812892364344,0.0017380336164263,0.000136034492004,0.000162769724538,Very Low,30.18,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8840551788969936,0.0594,0.0211,0.0236,0.0045600213672702,0.0003849643487214,0.0014272336014771,0.0001176941169543,0.000109927817688,7.439912226582277e-05,0.0037757937778684,0.000134583714066,0.0002017566323367,0.0008,6.022799296481941e-05,0.0001982186113931,Medium,30.27,Cr enhances grain boundary strength and reduces cracking.
0.8725765828782641,0.0675116590527988,0.0367599031370307,0.0159398193984086,0.0011060452421664,0.0006754497310371,0.0018510527960168,0.0001544234217706,0.0001031999307477,8.30731459122124e-05,0.0011461986713923,0.0007795377358716,0.0004609813229143,0.0007047960986973,7.190315289454439e-05,7.537428407636303e-05,High,30.32,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.8841296988870929,0.0636,0.0231,0.0191,0.0040850813867437,0.0019642678957971,0.0010764899707395,0.0001920100593385,7.927497758279756e-05,0.0001143593553953,0.0015882939237161,0.0001212747274417,0.0001955184845526,0.0004,0.0001116023949515,0.0001421279366478,Medium,30.28,High Zn can contribute to segregation but strengthens alloy.
0.85,0.0985113702581355,0.0686873402953803,0.0145083937140413,0.0035968412084642,0.0008870813188163,0.0014768494655622,7.343098530299331e-05,0.0001089342663339,0.0001279417513704,0.0034126084378655,0.0004689144007266,0.0004521259048595,0.0001452952183363,8.06096582819901e-05,8.624883812287777e-05,Very High,30.49,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.85,0.0886965467720749,0.0637680479285547,0.012464020332391,0.0013109385478599,0.0008266393606554,0.0011952410657008,0.0001829140152969,0.0001091858472978,6.997731885012852e-05,0.0015472745236758,0.0001620622147207,0.0004462308582498,0.0004276409270696,9.917642568287274e-05,0.0001833500916221,Very High,30.44,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8974672609281181,0.0538,0.0118,0.0255,0.0037675807907707,0.0011805328971113,0.0011770805364945,0.0001510468126212,0.0001574074959863,0.0001378381525808,0.0033825549624313,0.0001552146643996,0.0004219627107365,0.0007,0.0001187042924875,8.281575626163196e-05,Low,30.23,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8796737335780119,0.0632,0.0212,0.026,0.0035456416450551,0.0003923644591989,0.0019536539452112,0.0001622576524514,0.0001356316125259,0.0001139597535202,0.0021143613561278,0.0003910344059039,0.0003132115468984,0.0005,0.0001675080829993,0.0001366419620955,Medium,30.28,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.85,0.0902418611659856,0.0503317565785571,0.0122649577519793,0.001184010568087,0.0009763222633536,0.0019621897432201,0.0001835614275828,0.000118868603493,0.0001071427767535,0.0029934710909579,0.0008305928092811,0.0001457950552263,0.0003580691161637,0.0001320568018423,0.000194983765907,Very High,30.41,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.9072021186848018,0.033178478838203,0.0171597222884739,0.0302709599250348,0.0049718591844772,0.0003428288037306,0.0015013900783453,0.0001704216402236,0.0001856364937111,0.000122570380979,0.0020490561771993,0.0009466113206038,0.000447987663859,0.0012219721619329,0.0001170089703053,0.0001113773881187,Very Low,30.21,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8972503304462003,0.0384938723655712,0.0111347352124058,0.0387733935338098,0.004421842336044,0.001988533526219,0.0007993136763937,0.000186234273305,0.0001898832317628,0.0001399191709488,0.0046593836042724,0.0002152861717295,0.0002824946035822,0.0012579416277151,0.0001066044765194,0.0001002317435205,Very Low,30.22,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.85,0.0867320855638784,0.0510364707364485,0.0113441467693897,0.0013393508563407,0.0007510544338442,0.0019548680691609,0.0001012857917158,0.0001635924467413,0.0001811461001205,0.0020962208827488,0.0001526958363195,0.0003214845941432,0.0001253499881891,0.0001012773562875,0.0001190493575964,Very High,30.4,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8968073298649675,0.0636,0.0115,0.0191,0.0019059831007917,0.0006386659673198,0.0008897053715962,7.406939214068398e-05,6.673894999358713e-05,0.0001297807649757,0.003098045558281,0.0008253328601058,0.0004422949035623,0.0008,6.688856997937918e-05,5.5164696285997184e-05,Medium,30.24,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.8633413263077385,0.069,0.0293,0.0271,0.0039279757672456,0.0012749992174744,0.0018094187538146,8.757018481887486e-05,0.0001995856849855,0.0001640241394685,0.0022381104651453,0.0001230778592257,0.0004625018322084,0.0007,9.322767889392944e-05,0.0001781821089803,Low,30.33,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8761269260266594,0.063730370207997,0.0364156012994347,0.0154077514155476,0.0014642905620276,0.0007911043961455,0.0019945008740851,7.924627998504339e-05,0.0001076916613968,0.0001465934869171,0.0017055479460248,0.0007732658614865,0.000374635965397,0.0007136250602317,7.336598908702553e-05,9.548296757663758e-05,High,30.31,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.9108899795744948,0.0334314639118559,0.0111355759219962,0.0352030770090379,0.0013651467071445,0.0008167022708335,0.0018024069207698,5.605262402895496e-05,9.878167944143172e-05,0.0001332097704923,0.002518769632669,0.0002339992452992,0.0002816006484784,0.0017723183917356,0.0001320015897345,0.0001289141019877,Very Low,30.2,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8656816218038306,0.0691,0.0272,0.0271,0.0040889790771866,0.0009886745806968,0.0009444621806839,0.0001559944804818,9.70813245083706e-05,9.864940660272772e-05,0.0030559579566392,0.0006279476168579,0.0004027006022754,0.0002,0.0001250087388786,0.0001329222313577,Medium,30.32,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.8919679056723542,0.0643,0.0154,0.018,0.0016432322056699,0.0007986246383269,0.0019956867502365,0.0001415820132523,0.0001945040480669,5.855403710054291e-05,0.0037260108888957,0.0006851809831583,0.0004643080646575,0.0004,0.0001473120670842,7.709863119669548e-05,Medium,30.25,High Zn can contribute to segregation but strengthens alloy.
0.8895323452587424,0.0598,0.0144,0.0298,0.0024270133067743,0.0004239331201254,0.001126650173251,0.0001435473167435,0.0001127910912377,8.795395113803799e-05,0.0010581786626715,0.0003473254319933,0.0002836959510387,0.0003,5.738313718111424e-05,9.91825991027388e-05,Medium,30.26,"Mg helps refine grains, reducing cracking tendency."
0.85,0.0818241220609738,0.065792362855891,0.0149442030470258,0.0039402841752155,0.0004173129074417,0.0014851049968119,5.50514605811696e-05,0.0001829272658194,0.0001817050269266,0.0041996643414927,0.0002440644714591,0.0002275467273284,0.0001230235040066,6.647946706111744e-05,0.0001472446290948,Very High,30.44,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8958491492795445,0.059,0.0148,0.0206,0.0032451087902779,0.0011842888169282,0.0012690327665247,0.0001759702409996,0.0001368971699992,0.0001893289324768,0.0023826691332954,0.0001936986844457,0.0003093318524778,0.0005,9.682846048536942e-05,6.769587254420924e-05,Medium,30.24,Balanced composition with moderate crack susceptibility.
0.906881782893762,0.0308326842932173,0.0126867735938494,0.0363347821982614,0.0046046320419639,0.0019439599679354,0.001049692302307,0.0001389260270762,0.0001895597630253,0.0001613407088378,0.0029819652648247,0.0001725413623814,0.000492394951265,0.0012578876854332,7.297167501259343e-05,0.0001981052708468,Very Low,30.2,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8848329494063911,0.0569,0.0167,0.0297,0.0036399361841367,0.0003328569725599,0.0019058427308546,0.0001303330722319,0.0001348672332261,0.0001448594384698,0.0032270515720557,0.0008758130340453,0.0004753219273793,0.0007,0.000108968269731,0.000191200158918,Low,30.26,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8653483304884008,0.0673,0.0263,0.03,0.0047955421490133,0.000324335972034,0.0006808503286659,6.520593463297388e-05,9.490750605580223e-05,0.0001988872693231,0.0032217268224105,0.0003453616006601,0.0004888021318526,0.0006,9.596231740265546e-05,0.000140087479548,Low,30.32,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8950461634525837,0.0506,0.023,0.0205,0.0012961786069363,0.0013259382632737,0.0015194709240396,6.588587066056365e-05,0.0001234088806109,9.138840415708204e-05,0.0047063505006459,0.0006777743503989,0.0002804957376723,0.0006,8.145354161453013e-05,8.54914674061261e-05,Medium,30.25,Cr enhances grain boundary strength and reduces cracking.
0.8720242322432704,0.069,0.0246,0.024,0.0024981604753894,0.0017067821675807,0.0007776993932579,0.0001509054491313,9.297793233906844e-05,0.0001357993817425,0.0037926468560789,0.0005671736066225,0.0002046822734943,0.0002,0.0001398948930509,0.0001090453280416,Medium,30.3,High Zn can contribute to segregation but strengthens alloy.
0.8835539022697098,0.0577,0.0287,0.0171,0.0048796394086479,0.0018018900970763,0.0019815020119949,9.314490935655172e-05,6.00524806626815e-05,0.0001087865844415,0.0026729721451624,0.0007463107686038,0.0001250612813821,0.0002,0.0001207474236125,0.0001559906193491,Medium,30.28,Balanced composition with moderate crack susceptibility.
0.8573559325612441,0.0785317525032298,0.0329414696185807,0.0199211629307953,0.0027937820879132,0.0014271802260658,0.0019049085384424,0.0001349271036837,0.0001092732946208,0.0001234466114048,0.0027445061165412,0.0007498638443824,0.000485606962847,0.0004807710718092,0.0001874733726673,0.0001079431557718,High,30.35,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8988944823484016,0.0533,0.0114,0.0246,0.0021685785941408,0.0008089725002318,0.0018865942930647,0.0001528165824832,9.02843251180464e-05,0.0001508575764937,0.0048796575912584,0.0004164604185156,0.0004747289848132,0.0004,0.0001835987683192,0.0001929680171591,Medium,30.23,Balanced composition with moderate crack susceptibility.
0.8803162177948005,0.0636,0.0224,0.0263,0.0010220884684944,0.0008465426921213,0.0005631397844545,9.693610913204724e-05,0.0001760162117658,0.0001391362740962,0.002586171129285,0.0007631863704497,0.0001819525096602,0.0008,8.585995761125446e-05,0.0001227526981286,Low,30.29,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8807775343867558,0.0693,0.0145,0.0249,0.0046987744731142,0.0003249787607134,0.0014489328397009,9.647103129837035e-05,0.0001659157129497,0.0001523287533882,0.0016835503495602,0.0006768748696107,0.0001132757418249,0.0009,0.0001913087329232,7.005434815991544e-05,Medium,30.28,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.879119553870591,0.0627,0.026,0.0209,0.0018884312418829,0.0014965570557783,0.0012438136026181,0.0001734475707562,7.280728511367378e-05,8.268370694401161e-05,0.0045808273507487,0.000412814371815,0.0001050430079903,0.001,9.680960669780312e-05,0.0001272113290635,Medium,30.29,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.85,0.0910381367754897,0.0670436300063708,0.0156093797153538,0.0022772545503616,0.0006917083255994,0.0008087618150551,0.0001116787276991,5.589041213624785e-05,6.15137092833107e-05,0.0033611797700592,0.0003750437939411,0.000375309694312,0.0004506614410633,0.0001826718091395,0.0001531653809548,Very High,30.47,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8865605026502774,0.0551,0.019,0.0294,0.003532405829093,0.0010889617710709,0.0014313732766512,9.901138130450612e-05,8.516384000172722e-05,0.0001595373784294,0.0019696389296603,0.000231736592946,0.0003241762523921,0.0007,0.0001280815755957,0.0001894105225773,Low,30.26,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8976156135846842,0.0634,0.0104,0.0166,0.0046874969400924,0.0019236958523958,0.0010260677231775,0.0001952805997549,0.0001435997728293,5.243005960092008e-05,0.0026139314648495,0.0002908403559174,0.0003676089349316,0.0004,0.00013468859584,0.0001487461159259,Medium,30.24,High Zn can contribute to segregation but strengthens alloy.
0.8737329098515424,0.0646,0.023,0.0277,0.0012059150049999,0.0010356395312334,0.0017758725936413,0.0001681080540128,0.0001395366035819,0.0001593408800157,0.0041566849544293,0.0008038252789033,0.0002976849789001,0.0009,0.0001809564720522,0.0001435257966871,Low,30.3,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.8996239849254368,0.0618,0.0106,0.0156,0.0027277800745684,0.0014691274721319,0.001873232446382,6.0252980046493794e-05,6.065523335660032e-05,9.459308064219898e-05,0.0049491045172597,0.0003191340669186,0.0001087293587101,0.0005,7.944414534666006e-05,0.0001339616992,Medium,30.23,High Zn can contribute to segregation but strengthens alloy.
0.8960684414513129,0.0514,0.0195,0.0234,0.0034257162386383,0.001609268959987,0.0012329647856069,0.0001515411174495,0.000192074219435,6.620668390646107e-05,0.001253499881891,0.0004955605197696,0.0003959616483067,0.0005,0.0001122718480989,0.0001964926455972,Medium,30.24,Balanced composition with moderate crack susceptibility.
0.8798028600682114,0.0623,0.0259,0.0222,0.002433862914177,0.000908283942993,0.0008273808317975,7.322429188965798e-05,0.0001612462177754,0.0001652871996369,0.0029684651723181,0.0006463846324799,0.0004939958624563,0.0008,0.0001964841534984,0.000122524712766,Medium,30.29,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.85,0.094651441944205,0.0687365947864951,0.0121494037859075,0.0028547936197599,0.0005239155485844,0.001405172890072,0.0001488568115198,0.0001238803071071,0.0001602537779284,0.0024438955877601,0.0007762375774261,0.0003045101848803,0.0001124732540245,6.0266106386393925e-05,0.000121165237122,Very High,30.47,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8875106422168432,0.0646,0.0224,0.0178,0.001560336060946,0.0013725670433895,0.0009655429383853,0.0001128907491749,0.0001297182371283,0.0001122238483282,0.0019939565592578,0.0001882743227058,0.0004570093159819,0.0005,0.0001631854041808,0.0001336533036778,Medium,30.27,High Zn can contribute to segregation but strengthens alloy.
0.8576845552227818,0.0637314011777207,0.0460734415379822,0.0239255899848997,0.0021197355877837,0.0006775289801786,0.000828820981037,0.0001375570381597,9.92269224196418e-05,0.0001221916926828,0.0025926747743637,0.000797170402574,0.0002237490871451,0.0006775395693409,0.0001089981005577,0.0001998189403723,High,30.35,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.85,0.0989690661392431,0.0558893151908383,0.0176360579415976,0.0035102323203362,0.0016891178414264,0.0005086379907471,0.0001881961268319,8.391186065158441e-05,0.0001355430408097,0.0013005511269432,0.0005346719848768,0.000159518387762,0.0001560452703065,0.0001758649548199,0.0001590527790521,Very High,30.46,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8991157326383443,0.0514,0.0178,0.0222,0.0014634762381005,0.0014012896581838,0.0019249417759253,0.0001917104388174,0.0001238853606129,8.394086450047794e-05,0.0020329775531958,0.0005920276714426,0.0004088049905239,0.001,0.0001468403865587,0.0001143724237937,Medium,30.24,Cr enhances grain boundary strength and reduces cracking.
0.8886941946861198,0.0574,0.0193,0.0262,0.0027606099749584,0.0016071687295829,0.0009729355067459,0.000127805149157,5.938472633291774e-05,0.0001366710575376,0.0015166376606059,0.0005726470453003,0.0002003866645361,0.0002,6.3168235558724e-05,0.000188390563564,Medium,30.26,"Mg helps refine grains, reducing cracking tendency."
0.85,0.0906692218395264,0.0624014551185702,0.0189389258305095,0.0032336169989432,0.0014852559492463,0.0014267708603018,0.0001512179453251,0.0001752420808541,0.0001367539644674,0.003660146698185,0.00029855075744,0.0004865669543465,0.0004154388844898,5.768951887639973e-05,8.581276566290361e-05,Very High,30.46,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.8872141118846267,0.0663,0.0188,0.0207,0.0022468443043576,0.0004320038689417,0.0008494392121304,0.000113409295534,6.241052534272849e-05,9.954270012531268e-05,0.0014542303687985,0.0008253932947976,0.00012706734476,0.0006,5.2079320386929024e-05,0.0001234678801982,Medium,30.27,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.8913871784904581,0.0511,0.0238,0.0219,0.0035818891836286,0.0019367061954304,0.001952290141872,0.0001424450728888,0.0001630802124064,0.000155316118117,0.0027565396342808,0.0004309834157895,0.0001315876648763,0.0004,0.0001062237386524,5.576013159895169e-05,Medium,30.26,Balanced composition with moderate crack susceptibility.
0.85,0.0893732128398825,0.0502270728953483,0.0105630327568183,0.0026504707076457,0.0014791506977054,0.000610245120995,0.0001846878780436,0.0001296941027526,0.0001311905166412,0.0044227858724251,0.0004613448842751,0.0001667440806795,0.0001475271665072,5.836112803811626e-05,0.0001353809694694,Very High,30.41,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
0.85,0.0828016803047304,0.0698010770020852,0.0151832965236373,0.0036347745264757,0.0006257080077492,0.0011579231287843,0.0001861757770825,0.0001419193753304,0.0001121211602323,0.0018396223723823,0.000875232996727,0.0003450293873379,0.0004509492287711,0.0001662851808348,9.312667990756386e-05,Very High,30.46,High Cu increases crack susceptibility due to wider solidification range. High Zn can contribute to segregation but strengthens alloy.
